id,title,company,location,region,description,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,created,redirect_url,query,collected_at
5795616991,Data Analyst,Autotrader,"Manchester, Greater Manchester",North West England,"About us You've probably heard of Autotrader, but do you know what we're all about? We're the most trusted, most visited automotive marketplace in the UK. A heritage brand and a tech innovator. We bring together vehicle buyers and sellers to give them real choices. Cars may be what we're best known for but we’re also the place for pretty much everything else on wheels, from e-bikes to caravans. In the automotive world, change is a constant, that’s why we take our job of untangling the complex c…",35000.0,60000.0,0,,,IT Jobs,2026-07-10T13:36:45Z,https://www.adzuna.co.uk/jobs/details/5795616991?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:40.798464+00:00
5814622035,Data Analyst,Stott & May Professional Search Limited,"London, UK",London,"Data Analyst Location: London / Edinburgh (Hybrid - 2 Days On-site) Contract: 6 Months Day Rate: £467 per day (Inside IR35) We are seeking an experienced Data Analyst to join a major programme, supporting end-to-end workstreams through high-quality data analysis, reporting, and insight generation. This is an excellent opportunity to work on a large-scale programme, collaborating with stakeholders to deliver meaningful analytical outputs that support strategic decision-making. Key Responsibiliti…",107900.0,121420.0,0,contract,,IT Jobs,2026-07-25T00:41:10Z,https://www.adzuna.co.uk/jobs/details/5814622035?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:40.798469+00:00
5812621933,Data Analyst,Hays Technology,"Wytham, Oxford",South East England,"Your new company You will be working for a local council in Oxfordshire. Your new role We are looking for a data analyst who has experience with Power BI reporting, SQL and an internal system called QL (training given) and is able to develop reports and dashboards, track performance and identify trends. Good all-round knowledge of Excel is also required, as some reports are still in Excel waiting to be moved into Power Bi, Main Duties To support the department's statistical returns to the Gover…",52000.0,65000.0,0,contract,,IT Jobs,2026-07-23T20:43:38Z,https://www.adzuna.co.uk/jobs/details/5812621933?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:40.798474+00:00
5821005233,Data Analyst,VIQU IT,"Glynn, Larne",Northern Ireland,"Salary: £40,000 - 50,000 per year Requirements: Experience in a Data Analyst, Commercial Analyst, FinOps, or similar analytical role Strong skills in SQL, Python, Power BI, and advanced Excel Experience analysing complex datasets and producing clear business insights Commercial mindset with an understanding of how data impacts decision-making Technology industry experience is highly desirable, ideally within SaaS, cloud, MSP, or licensing environments Exposure to vendor licensing, consumption t…",40000.0,50000.0,0,,full_time,IT Jobs,2026-07-30T11:33:44Z,https://www.adzuna.co.uk/jobs/details/5821005233?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:40.798479+00:00
5812585194,Data Analyst,Hays Specialist Recruitment Limited,"Oxford, Oxfordshire",South East England,"Your new company You will be working for a local council in Oxfordshire. Your new role We are looking for a data analyst who has experience with Power BI reporting, SQL and an internal system called QL (training given) and is able to develop reports and dashboards, track performance and identify trends. Good all-round knowledge of Excel is also required, as some reports are still in Excel waiting to be moved into Power Bi,Main Duties To support the department's statistical returns to the Govern…",52000.0,65000.0,0,permanent,,IT Jobs,2026-07-23T18:35:31Z,https://www.adzuna.co.uk/jobs/details/5812585194?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:40.798485+00:00
5792883497,Data Analyst,Macildowie Recruitment and Retention,"Daventry, Northamptonshire",East Midlands,"Data Analyst Daventry | Circa £45,000 | 18-Month Fixed-Term Contract | Office-based (4 days per week) We're partnering with an exciting and growing automotive manufacturer in Daventry to recruit a Data Analyst . This is an excellent opportunity to join the business during a period of growth, with genuine potential for the role to become permanent. This is a highly analytical position, sitting between Engineering and Supply Chain. You'll translate engineering data into supply chain requirements,…",45000.0,47000.0,0,contract,,IT Jobs,2026-07-08T17:47:51Z,https://www.adzuna.co.uk/jobs/details/5792883497?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:40.798490+00:00
5802837235,Data Analyst,Know How Resourcing,"Hyde Park, Leeds",Yorkshire And The Humber,"We're looking for a commercially minded Data Business Analyst to join the IT Transformation team and play a key role in improving the way our client uses data, systems, and processes. This is a varied role that combines business analysis, process improvement, data analysis, and reporting. You'll work closely with stakeholders across the business to map and improve processes, develop meaningful management information, build Power BI dashboards, and ensure business systems are being used effectiv…",40150.66,40150.66,1,,full_time,IT Jobs,2026-07-16T13:37:54Z,https://www.adzuna.co.uk/jobs/details/5802837235?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:40.798495+00:00
5799922249,Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",London,"Data Analyst - Up to 45k This is an opportunity to work with a genuinely unique behavioural dataset, combining digital activity, consumer journeys and emerging AI interactions. You will help answer complex commercial questions for leading brands while shaping how data is used to understand real-world behaviour. The Company They are a specialist data and analytics business focused on understanding how advertising and digital experiences influence consumer behaviour. Their work blends advanced an…",40000.0,45000.0,0,permanent,full_time,IT Jobs,2026-07-14T13:29:41Z,https://www.adzuna.co.uk/jobs/details/5799922249?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991520+00:00
5794322601,Data analyst,Lorien,"Manchester, Greater Manchester",North West England,"Data Analyst Location: Edinburgh or Manchester (Hybrid - 1 day onsite per week, Wednesdays) Type: Contract Overview We're looking for a highly data-focused Data Analyst to support the development of data products within a modern AWS-based architecture. This role is centred on deep data analysis and discovery (70%) , alongside logical data modelling (30%) , helping shape how raw data is standardised, structured, and consumed. You'll work closely with engineering teams, translating business needs…",53209.31,53209.31,1,permanent,full_time,IT Jobs,2026-07-09T18:02:20Z,https://www.adzuna.co.uk/jobs/details/5794322601?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991563+00:00
5822591752,Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",London,"Data Analyst London (Hybrid, 4 days in office) | £45,000  Bonus This is an excellent opportunity to play a key role in turning complex datasets into meaningful insights. You'll work across a range of high-profile communications and brand measurement projects, helping stakeholders understand performance, audience engagement, and brand impact through data. The Company This specialist analytics consultancy supports clients with data-driven decision making across communications, marketing, and bran…",45000.0,45000.0,0,permanent,full_time,IT Jobs,2026-07-31T18:39:54Z,https://www.adzuna.co.uk/jobs/details/5822591752?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991571+00:00
5802838420,Data Analyst,Consula Group LTD,"Glasgow City Centre, Glasgow",Scotland,"We are recruiting on behalf of a forward-thinking and data-driven organisation that is looking for an exceptional Data Analyst to join their growing team. This is a hybrid role,, offering the flexibility to work from home part time while being part of a high-performing team that puts data at the centre of every business decision. This is a senior-level opportunity for a talented analyst who is confident working with complex datasets, communicating insights to senior stakeholders, and driving me…",80000.0,110000.0,0,permanent,full_time,IT Jobs,2026-07-16T13:40:36Z,https://www.adzuna.co.uk/jobs/details/5802838420?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991577+00:00
5813670595,Data Analyst,Mears Group,UK,UK,"Annual salary: up to £45,000.00 Data Analyst Location: Remote role but travel required where needed Salary up to £45,000 per annum plus £4,000 company car allowance Contract: Full time – Permanent, 2-year fixed term contracts, Monday to Friday About the Role: Mears Housing Management is looking for a Data Analyst to help deliver the Property Management Platform (PMP), a transformation programme for the Asylum Accommodation & Support Services Contract (AASC). The Data Analyst will help turn PMP …",30891.19,30891.19,1,contract,full_time,IT Jobs,2026-07-24T11:02:25Z,https://www.adzuna.co.uk/jobs/details/5813670595?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991583+00:00
5820008422,Data Analyst,UCL Partners,"Fitzrovia, West London",London,"Data Analyst Help shape the future of health and care through data, insight and innovation At UCLPartners, we believe that better health and care starts with innovation. We work alongside the NHS, academia, industry and communities to discover, test and scale solutions that improve outcomes for patients and populations. We're looking for a talented Data Analyst to join our growing Evaluation and Insights team for a 1 year fixed term contract. If you're passionate about using data to answer mean…",40000.0,52000.0,0,contract,full_time,IT Jobs,2026-07-29T18:08:37Z,https://www.adzuna.co.uk/jobs/details/5820008422?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991590+00:00
5773388931,Data Analyst,GlobalData PLC,"Hull, East Riding Of Yorkshire",Yorkshire And The Humber,"Data Analyst Location: Hull Location type: Hybrid Who we are… GlobalData operates an intelligence platform that empowers leaders to act decisively in a world of complexity and change. By uniting proprietary data, human expertise, and purpose-built AI into a single, connected platform, we help organizations see what’s coming, move faster, and lead with confidence. Our solutions are used by over 5,000 organizations across the world’s largest industries, delivering tailored intelligence that suppo…",45909.02,45909.02,1,permanent,full_time,IT Jobs,2026-06-23T10:48:35Z,https://www.adzuna.co.uk/jobs/details/5773388931?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991596+00:00
5821005636,Data Analyst,Catalyst,"Sydenham, Belfast",Northern Ireland,"Salary: £50,000 - 80,000 per year Requirements: Strong commercial Data Analyst experience in a similar role, preferably in a fast-moving, growing health or tech consumer product/service business Degree or equivalent in Data, Tech or a numerate discipline Strong SQL skills and confidence working with large datasets; Python or R experience for data analysis is beneficial Proficient in Excel and at least one BI tool such as Power BI or Tableau; customer management and EPOS system knowledge is adva…",50000.0,80000.0,0,permanent,full_time,IT Jobs,2026-07-30T11:33:49Z,https://www.adzuna.co.uk/jobs/details/5821005636?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991602+00:00
5819013564,Data Analyst,Capita,"London, UK",London,"Join our team as a Data Analyst supporting the Gas Safe Register! As the Data Analyst, you'll play a key part in delivering business-critical management information and performance reporting to both internal and external stakeholders. You'll work with data from a variety of Capita and client systems, using your analytical skills to interrogate data and develop insightful reporting solutions that align with client needs. You'll also support the team's day-to-day operations by producing accurate,…",40311.84,40311.84,1,permanent,full_time,IT Jobs,2026-07-29T00:28:28Z,https://www.adzuna.co.uk/jobs/details/5819013564?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991608+00:00
5817732432,Data Analyst,Baker Harding Limited,"Leeds, West Yorkshire",Yorkshire And The Humber,"Data Analyst This is a new and exciting opportunity to join our team to support the continued growth of an established family-owned business in Leeds. The company are a leading manufacturer and supplier of electrical power distribution equipment and pioneers of ultra-low loss amorphous transformer technology. Purpose: To support with structured business analysis and data-led insight by documenting processes, improving the use of business systems, producing management information, and turning op…",43284.36,43284.36,1,,,IT Jobs,2026-07-28T00:49:32Z,https://www.adzuna.co.uk/jobs/details/5817732432?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991613+00:00
5802434283,Data Analyst,Baker Harding Limited,"Leeds, West Yorkshire",Yorkshire And The Humber,"We are looking for an experienced Data Analyst to join a great team in an established family-owned business in Leeds (LS11). Our client is a leading manufacturer and supplier of electrical power distribution equipment and pioneers of super low loss amorphous transformer technology. Purpose: To support our client with structured analysis and data-led insight by documenting processes, improving the use of business systems, producing management information, and turning operational data into clear …",42106.07,42106.07,1,,,IT Jobs,2026-07-16T08:42:00Z,https://www.adzuna.co.uk/jobs/details/5802434283?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991619+00:00
5762595130,Data Analyst,Ocado Group,"Hatfield, Hertfordshire",Eastern England,"Data Analyst | Ecommerce Partner Success Analytics | Hybrid Working | Hatfield We are Ocado Group, and we're bringing world-class automation to online grocery. Our Ocado Smart Platform (OSP) combines cutting-edge robotics, AI, and IoT within our advanced CFCs (Customer Fulfilment Centres). We've mastered the single pick, transforming online delivery for our global partners. Join us and be part of a team pushing the boundaries of retail technology. About the Role As an Ecommerce Data Analyst (A2…",48506.19,48506.19,1,contract,,IT Jobs,2026-06-13T13:44:22Z,https://www.adzuna.co.uk/jobs/details/5762595130?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991624+00:00
5772806568,Data Analyst,TQR,"Bodmin, Cornwall",South West England,"An opportunity has arisen for a Data Analyst to play a key role in enabling data-driven decision making. This position will lead the design, development and optimisation of reporting and analytics solutions, with a strong emphasis on Power BI. Key Responsibilities Business Analysis & Requirements Management Lead the elicitation, analysis, and documentation of business requirements across multiple functions Facilitate workshops to capture current and future state processes Produce clear document…",60000.0,60000.0,0,,,IT Jobs,2026-06-22T21:42:09Z,https://www.adzuna.co.uk/jobs/details/5772806568?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991630+00:00
5731346239,Data Analyst,GoHenry,"London, UK",London,"Data Analyst | GoHenry GoHenry is a UK-based fintech company created by parents to pioneer financial education. More recently, GoHenry moved into Europe and the US by joining forces with French fintech company PixPay and US investing app, Acorns. Together, Acorns, PixPay, and GoHenry have over 6 million members across 5 countries. We are focused on empowering families with engaging money management tools, educational content, and a seamless product experience that creates financial well-being f…",42175.52,42175.52,1,contract,full_time,IT Jobs,2026-05-16T12:50:56Z,https://www.adzuna.co.uk/jobs/details/5731346239?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:42.991638+00:00
