model,cv_r2_mean,cv_r2_std,mae_gbp,rmse_gbp,r2,mae_log
xgboost,0.307430802594203,0.10073888192199104,15233.655576508621,24495.87467987143,0.3083556447669302,0.22962101792219797
random_forest,0.2841566357668627,0.07882113111075392,15801.434232541578,25053.229058802193,0.26131546827560215,0.2395792803981272
linear_regression,0.22238447655490762,0.03903192411325264,15959.913144559323,24920.294590368412,0.23289026830683845,0.24549696546205685
ridge,0.22422775925037014,0.043418406185175965,15960.750674821924,24934.36505203672,0.23100426419497155,0.24555948822508208
